created,text,boro,boro_code,street,alarm
2019-03-22T00:07:02Z,"BKLYN ALLHANDS 1552 ROCKAWAY PKWY, PRIVATE DWELLING FIRE ON THE 1ST FLR,",BK,3,1552 ROCKAWAY PKWY,1
2019-03-21T23:46:22Z,"BX ALLHANDS 890 HOME ST, PRIVATE DWELLING FIRE 2ND FLR,",BX,2,890 HOME ST,1
2019-03-21T13:56:41Z,"QNS ALLHANDS 42-16 82 STREET, MULTIPLE DWELLING FIRE 4TH FL, UNDER CONTROL",QN,4,42-16 82 STREET,9
2019-03-21T05:13:05Z,"SI ALLHANDS 780 HENDERSON AVE, MULTIPLE DWELLING FIRE ON THE 3RD FLR,",SI,5,780 HENDERSON AVE,1
2019-03-21T00:11:59Z,"QNS ALLHANDS 1632 CORNELIA ST, PRIVATE DWELLING FIRE IN THE COCKLOFT, UNDER CONTROL",QN,4,1632 CORNELIA ST,9
2019-03-20T23:45:54Z,"BKLYN ALLHANDS 921 SUTTER AVE, VACANT PRIVATE DWELLING FIRE 2ND FLR, UNDER CONTROL",BK,3,921 SUTTER AVE,9
2019-03-20T23:42:03Z,"QNS ALLHANDS 1632 CORNELIA ST, PRIVATE DWELLING FIRE 2ND FLR, FIRE IN THE COCKLOFT,",QN,4,1632 CORNELIA ST,1
2019-03-20T23:37:54Z,"BKLYN ALLHANDS 921 SUTTER AVE, VACANT PRIVATE DWELLING FIRE 2ND FLR,",BK,3,921 SUTTER AVE,1
2019-03-20T21:27:28Z,"BKLYN ALLHANDS 2770 86 ST, MULTIPLE DWELLING FIRE ON 6TH FLR, UNDER CONTROL",BK,3,2770 86 ST,9
2019-03-20T19:37:44Z,"MAN ALLHANDS HARLEM RIVER DR, BRUSH FIRE IN WOODED AREA, UNDER CONTROL",MH,1,HARLEM RIVER DR,9
2019-03-20T19:06:04Z,"MAN ALLHANDS HARLEM RIVER DR, BRUSH FIRE IN WOODED AREA,",MH,1,HARLEM RIVER DR,1
2019-03-20T16:57:51Z,"BX ALLHANDS 749 E 180 ST, PRIVATE DWELLING MATTRESS FIRE 2ND FLR, UNDER CONTROL",BX,2,749 E 180 ST,9
2019-03-20T16:53:03Z,"BX ALLHANDS 749 E 180 ST, PRIVATE DWELLING MATTRESS FIRE 2ND FLR,",BX,2,749 E 180 ST,1
2019-03-20T14:49:35Z,"BKLYN ALLHANDS 522 PINE ST, FIRE 2ND FLR WALL, UNDER CONTROL",BK,3,522 PINE ST,9
2019-03-20T13:56:27Z,"BKLYN ALLHANDS 522 PINE ST, FIRE IN PRIVATE DWELLING,",BK,3,522 PINE ST,1
2019-03-20T10:11:38Z,"MAN 2-ALARM 154 E 55 ST, FIRE ON 1ST FLR, UNDER CONTROL",MH,1,154 E 55 ST,9
2019-03-20T09:54:57Z,"QNS 2-ALARM 60-26 55 ST, PRIVATE DWELLING FIRE ON 1ST FLR, UNDER CONTROL",QN,4,60-26 55 ST,9
2019-03-20T09:46:43Z,"QNS ALLHANDS 410 MENAHAN ST, PRIVATE DWELLING FIRE IN BASEMENT, UNDER CONTROL",QN,4,410 MENAHAN ST,9
2019-03-20T09:24:20Z,"QNS ALLHANDS 410 MENAHAN ST, PRIVATE DWELLING FIRE IN BASEMENT,",QN,4,410 MENAHAN ST,1
2019-03-20T09:24:13Z,"QNS 2-ALARM 60-26 55 ST, PRIVATE DWELLING FIRE ON 1ST FLR,",QN,4,60-26 55 ST,2
2019-03-20T09:24:09Z,"MAN 2-ALARM 154 E 55 ST, FIRE ON 1ST FLR,",MH,1,154 E 55 ST,2
2019-03-19T17:26:53Z,"BX ALLHANDS 2861 LAWTON AVE, PRIVATE DWELLING FIRE ON 2ND FLR, UNDER CONTROL",BX,2,2861 LAWTON AVE,9
2019-03-19T17:15:14Z,"BX ALLHANDS 2861 LAWTON AVE, PRIVATE DWELLING FIRE ON 2ND FLR,",BX,2,2861 LAWTON AVE,1
2019-03-19T11:33:54Z,"MAN ALLHANDS 1850 LEXINGTON AVE, MULTIPLE DWELLING FIRE IN THE BASEMENT, UNDER CONTROL",MH,1,1850 LEXINGTON AVE,9
2019-03-19T11:09:11Z,"MAN ALLHANDS 1850 LEXINGTON AVE, MULTIPLE DWELLING FIRE IN THE BASEMENT,",MH,1,1850 LEXINGTON AVE,1
2019-03-19T00:21:19Z,"MAN ALLHANDS 340 E 13 ST, MULTIPLE DWELLING FIRE ON 5TH FLR, UNDER CONTROL",MH,1,340 E 13 ST,9
2019-03-18T23:48:06Z,"MAN ALLHANDS 340 E 13 ST, MULTIPLE DWELLING FIRE ON 5TH FLR,",MH,1,340 E 13 ST,1
2019-03-18T22:19:29Z,"BX ALLHANDS 2528 CRUGER AVE, MULTIPLE DWELLING FIRE ON THE 4TH FLR, UNDER CONTROL",BX,2,2528 CRUGER AVE,9
2019-03-18T22:03:38Z,"BX ALLHANDS 2528 CRUGER AVE, MULTIPLE DWELLING FIRE ON THE 4TH FLR,",BX,2,2528 CRUGER AVE,1
2019-03-18T19:01:38Z,"MAN ALLHANDS 219 AVE B, MULTIPLE DWELLING FIRE IN 1 STORY SETBACK, UNDER CONTROL",MH,1,219 AVE B,9
2019-03-18T18:22:43Z,"MAN ALLHANDS 219 AVE B, MULTIPLE DWELLING FIRE IN 1 STORY SETBACK,",MH,1,219 AVE B,1
2019-03-18T14:42:26Z,"BX ALLHANDS 712 FOX ST, MULTIPLE DWELLING FIRE ON 1ST FLR, UNDER CONTROL",BX,2,712 FOX ST,9
2019-03-18T08:58:47Z,"BKLYN ALLHANDS 522 GLENMORE AVE, PRIVATE DWELLING FIRE ON FLR 2, UNDER CONTROL",BK,3,522 GLENMORE AVE,9
2019-03-18T08:02:41Z,"BKLYN ALLHANDS 525 GLENMORE AVE, PRIVATE DWELLING FIRE ON FLR 2,",BK,3,525 GLENMORE AVE,1
2019-03-18T07:30:06Z,"QNS ALLHANDS 119-14 145 ST, PRIVATE DWELLING FIRE ON FLR 2, UNDER CONTROL",QN,4,119-14 145 ST,9
2019-03-18T07:12:25Z,"QNS ALLHANDS 119-14 145 ST, PRIVATE DWELLING FIRE ON FLR 2,",QN,4,119-14 145 ST,1
2019-03-18T02:56:16Z,"BKLYN ALLHANDS 328 2 ST, MULTIPLE DWELLING FIRE IN THE BASEMENT, UNDER CONTROL",BK,3,328 2 ST,9
2019-03-18T02:32:46Z,"BKLYN ALLHANDS 328 2 ST, MULTIPLE DWELLING FIRE IN THE BASEMENT,",BK,3,328 2 ST,1
2019-03-17T13:14:02Z,"QNS ALLHANDS 109-31 FRANCIS LEWIS BLVD, PRIVATE DWELLING KITCHEN FIRE, UNDER CONTROL",QN,4,109-31 FRANCIS LEWIS BLVD,9
2019-03-17T02:52:05Z,"BKLYN ALLHANDS 670 MAPLE ST, PRIVATE DWELLING FIRE IN A DRYER, UNDER CONTROL",BK,3,670 MAPLE ST,9
2019-03-17T02:48:52Z,"QNS ALLHANDS 160-02 134 AVE, PRIVATE DWELLING FIRE IN A GARAGE, UNDER CONTROL",QN,4,160-02 134 AVE,9
2019-03-16T23:08:12Z,"BX ALLHANDS 356 E 134 ST, FIRE IN VACANT BUILDING, UNDER CONTROL",BX,2,356 E 134 ST,9
2019-03-16T20:30:42Z,"BX 2-ALARM 21 ASCH LOOP, MULTIPLE DWELLING POWER OUTAGE CO-OP CITY/ MULTIPLE BUILDINGS/ MULTIPLE ELEVATORS SEARCHED… https://t.co/gepy6wDCfb",BX,2,21 ASCH LOOP,2
2019-03-16T15:42:45Z,"BX ALLHANDS 2928 HOLLAND AVE, FIRE BETWEEN 2-3RD FLR, UNDER CONTROL",BX,2,2928 HOLLAND AVE,9
2019-03-16T12:20:24Z,"BKLYN ALLHANDS 864 STANLEY AVE, COMMERCIAL BOX TRUCK BETWEEN TWO BUILDINGS, UNDER CONTROL",BK,3,864 STANLEY AVE,9
