input_location,latitude,longitude,bbl,fireBattalion,censusTract2010,communityDistrict,report_date,borough,case_type,cases,individuals
189 BOWERY,40.72074107630252,-73.99386351598808,1004250004,02,  18  ,103,12/31/2019,Manhattan,ADULT FAMILY,45,93
189 BOWERY,40.72074107630252,-73.99386351598808,1004250004,02,  18  ,103,12/31/2019,Manhattan,FAMILY WITH CHILDREN,111,336
189 BOWERY,40.72074107630252,-73.99386351598808,1004250004,02,  18  ,103,12/31/2019,Manhattan,SINGLE ADULT,186,186
224-10 59 AVE,40.75119926658319,-73.75338862881657,4075220016,53,138501,411,12/31/2019,Queens,ADULT FAMILY,2,4
224-10 59 AVE,40.75119926658319,-73.75338862881657,4075220016,53,138501,411,12/31/2019,Queens,FAMILY WITH CHILDREN,4,15
224-10 59 AVE,40.75119926658319,-73.75338862881657,4075220016,53,138501,411,12/31/2019,Queens,SINGLE ADULT,11,11
224-10 59 AVE,40.75119926658319,-73.75338862881657,4075220016,53,138501,411,12/31/2019,Queens,ADULT FAMILY,2,4
224-10 59 AVE,40.75119926658319,-73.75338862881657,4075220016,53,138501,411,12/31/2019,Queens,FAMILY WITH CHILDREN,4,15
224-10 59 AVE,40.75119926658319,-73.75338862881657,4075220016,53,138501,411,12/31/2019,Queens,SINGLE ADULT,11,11
393 TOMPKINS AVE,40.68414815518148,-73.94406280005191,NA,57, 267  ,303,12/31/2019,Brooklyn,ADULT FAMILY,69,144
393 TOMPKINS AVE,40.68414815518148,-73.94406280005191,NA,57, 267  ,303,12/31/2019,Brooklyn,FAMILY WITH CHILDREN,362,1128
393 TOMPKINS AVE,40.68414815518148,-73.94406280005191,NA,57, 267  ,303,12/31/2019,Brooklyn,SINGLE ADULT,487,487
393 TOMPKINS AVE,40.68414815518148,-73.94406280005191,NA,57, 267  ,303,12/31/2019,Brooklyn,ADULT FAMILY,69,144
393 TOMPKINS AVE,40.68414815518148,-73.94406280005191,NA,57, 267  ,303,12/31/2019,Brooklyn,FAMILY WITH CHILDREN,362,1128
393 TOMPKINS AVE,40.68414815518148,-73.94406280005191,NA,57, 267  ,303,12/31/2019,Brooklyn,SINGLE ADULT,487,487
